nome,populacao
Abatiá,7408
Adrianópolis,5857
Agudos do Sul,9470
Almirante Tamandaré,120041
Altamira do Paraná,1682
Alto Paraíso,2685
Alto Paraná,14859
Alto Piquiri,9778
Altônia,22176
Alvorada do Sul,11503
Amaporã,6332
Ampére,19311
Anahy,2788
Andirá,19926
Ângulo,2930
Antonina,18949
Antônio Olinto,7427
Apucarana,136234
Arapongas,124810
Arapoti,28300
Arapuã,3009
Araruna,14000
Araucária,146214
Ariranha do Ivaí,2066
Assaí,14954
Assis Chateaubriand,33340
Astorga,26209
Atalaia,3881
Balsa Nova,13092
Bandeirantes,31211
Barbosa Ferraz,11426
Barra do Jacaré,2781
Barracão,10312
Bela Vista da Caroba,3457
Bela Vista do Paraíso,15399
Bituruna,16400
Boa Esperança,4047
Boa Esperança do Iguaçu,2470
Boa Ventura de São Roque,6365
Boa Vista da Aparecida,7540
Bocaiúva do Sul,13129
Bom Jesus do Sul,3506
Bom Sucesso,7068
Bom Sucesso do Sul,3254
Borrazópolis,6439
Braganey,5382
Brasilândia do Sul,2585
Cafeara,2954
Cafelândia,18456
Cafezal do Sul,4009
Califórnia,8606
Cambará,25466
Cambé,107341
Cambira,7917
Campina da Lagoa,14043
Campina do Simão,3859
Campina Grande do Sul,43685
Campo Bonito,3763
Campo do Tenente,8045
Campo Largo,133865
Campo Magro,29740
Campo Mourão,95488
Cândido de Abreu,14809
Candói,16053
Cantagalo,13329
Capanema,19148
Capitão Leônidas Marques,15834
Carambeí,23825
Carlópolis,14356
Cascavel,332333
Castro,71809
Catanduvas,10167
Centenário do Sul,10764
Cerro Azul,17833
Céu Azul,11819
Chopinzinho,19167
Cianorte,83816
Cidade Gaúcha,12797
Clevelândia,16450
Colombo,246540
Colorado,24145
Congonhinhas,8857
Conselheiro Mairinck,3876
Contenda,18837
Corbélia,17117
Cornélio Procópio,47842
Coronel Domingos Soares,7518
Coronel Vivida,20580
Corumbataí do Sul,3127
Cruz Machado,18741
Cruzeiro do Iguaçu,4240
Cruzeiro do Oeste,20947
Cruzeiro do Sul,4449
Cruzmaltina,2921
Curitiba,1948626
Curiúva,15196
Diamante do Norte,5030
Diamante do Sul,3424
Diamante D'Oeste,5266
Dois Vizinhos,41038
Douradina,8869
Doutor Camargo,5983
Doutor Ulysses,5552
Enéas Marques,5933
Engenheiro Beltrão,13981
Entre Rios do Oeste,4596
Esperança Nova,1665
Espigão Alto do Iguaçu,4048
Farol,3041
Faxinal,17316
Fazenda Rio Grande,102004
Fênix,4748
Fernandes Pinheiro,5602
Figueira,7696
Flor da Serra do Sul,4603
Floraí,4906
Floresta,6851
Florestópolis,10453
Flórida,2699
Formosa do Oeste,6460
Foz do Iguaçu,258248
Foz do Jordão,4556
Francisco Alves,5993
Francisco Beltrão,92216
General Carneiro,13685
Godoy Moreira,2898
Goioerê,28808
Goioxim,7053
Grandes Rios,5497
Guaíra,33310
Guairaçá,6609
Guamiranga,8811
Guapirama,3784
Guaporema,2241
Guaraci,5530
Guaraniaçu,12217
Guarapuava,182644
Guaraqueçaba,7594
Guaratuba,37527
Honório Serpa,5119
Ibaiti,31644
Ibema,6370
Ibiporã,55131
Icaraíma,7786
Iguaraçu,4440
Iguatu,2253
Imbaú,13282
Imbituva,32940
Inácio Martins,11121
Inajá,3116
Indianópolis,4465
Ipiranga,15251
Iporã,13782
Iracema do Oeste,2251
Irati,61088
Iretama,10098
Itaguajé,4446
Itaipulândia,11385
Itambaracá,6549
Itambé,6109
Itapejara d'Oeste,12094
Itaperuçu,29070
Itaúna do Sul,2781
Ivaí,13965
Ivaiporã,31935
Ivaté,8240
Ivatuba,3279
Jaboti,5303
Jacarezinho,39322
Jaguapitã,13742
Jaguariaíva,35027
Jandaia do Sul,21230
Janiópolis,5095
Japira,4930
Japurá,9500
Jardim Alegre,11196
Jardim Olinda,1320
Jataizinho,12638
Jesuítas,8330
Joaquim Távora,12009
Jundiaí do Sul,3269
Juranda,7292
Jussara,7041
Kaloré,4047
Lapa,48410
Laranjal,5784
Laranjeiras do Sul,32139
Leópolis,3925
Lidianópolis,3231
Lindoeste,4592
Loanda,23242
Lobato,4819
Londrina,575377
Luiziana,7240
Lunardelli,4744
Lupionópolis,4945
Mallet,13663
Mamborê,13014
Mandaguaçu,23100
Mandaguari,34515
Mandirituba,27315
Manfrinópolis,2506
Mangueirinha,16642
Manoel Ribas,13510
Marechal Cândido Rondon,53495
Maria Helena,5634
Marialva,35804
Marilândia do Sul,8814
Marilena,7084
Mariluz,10336
Maringá,430157
Mariópolis,6632
Maripá,5582
Marmeleiro,14387
Marquinho,4340
Marumbi,4677
Matelândia,18107
Matinhos,35219
Mato Rico,3206
Mauá da Serra,10800
Medianeira,46574
Mercedes,5577
Mirador,2196
Miraselva,1796
Missal,10704
Moreira Sales,12042
Morretes,16446
Munhoz de Melo,4009
Nossa Senhora das Graças,4008
Nova Aliança do Ivaí,1551
Nova América da Colina,3434
Nova Aurora,10299
Nova Cantu,5061
Nova Esperança,27984
Nova Esperança do Sudoeste,5030
Nova Fátima,8136
